sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,physiological category,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
114,M169,Hallsson and Björklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - red - 30 degrees,days,high values = slow,development,lab,25.52,27.88,1728.00,25.69,25.14,1729.00,NA,,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
115,M169,Hallsson and Björklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - control - 36 degrees,days,high values = slow,development,lab,25.09,26.05,1728.00,25.26,26.97,1729.00,NA,,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
116,M169,Hallsson and Björklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - trend - 30 degrees,days,high values = slow,development,lab,26.25,26.05,1728.00,26.21,26.05,1729.00,NA,,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
117,M169,Hallsson and Björklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - control - 30 degrees,days,high values = slow,development,lab,25.69,23.31,1728.00,25.99,24.22,1729.00,NA,,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
118,M35,Foerster et al. 2007,,Cervus elaphus,mammal,endotherm,determinate,temperate,cold,iteroparous,male biased,Yes,polygyny,female,males larger,adults,Lifetime Reproductive Success,count,high values = fast,life history,wild,21.90,21.90,284.00,22.70,20.50,301.00,NA,,0,1,NA,"Different measures of the same reproductive outputexcluded, beacuse theoretically no dimorphism can occur, ",0,", fitness trait without theoretical sexual dimorphism",0
119,M121,Uhl et al. 2004,,Pholcus phalangioides,arthropod,ectotherm,determinate,artificial,global,iteroparous,male biased,No,promiscuity,female,males larger,adults,Development time - high food,days,high values = slow,development,semiwild,96.43,20.12,285.00,103.48,27.35,297.00,NA,,0,0,NA,"Development time in two different environments, but in different inds, so independent. ",1,,1
120,M121,Uhl et al. 2004,,Pholcus phalangioides,arthropod,ectotherm,determinate,artificial,global,iteroparous,male biased,No,promiscuity,female,males larger,adults,Development time - low food,days,high values = slow,development,semiwild,103.70,19.82,296.00,103.96,22.51,286.00,NA,,0,0,NA,"Development time in two different environments, but in different inds, so independent. ",1,,1
121,M35,Foerster et al. 2007,,Cervus elaphus,mammal,endotherm,determinate,temperate,cold,iteroparous,male biased,Yes,polygyny,female,males larger,adults,Yearly contribution to population growth (pti),offspring per year adjusted,high values = fast,life history,wild,1.80,16.00,2116.00,8.00,13.00,2852.00,NA,,0,1,NA,"Different measures of the same reproductive outputexcluded, beacuse theoretically no dimorphism can occur, ",0,", fitness trait without theoretical sexual dimorphism",0
122,M201,Walling et al. 2008,,Nicrophorus vespilloides,arthropod,ectotherm,determinate,temperate,global,iteroparous,no sex bias,No,social monogamy,both,females larger,adults,Family size (number of offspring),count,high values = fast,life history,semiwild,26.50,10.86,225.00,26.80,10.63,256.00,NA,,NA,NA,NA,"excluded, beacuse theoretically no dimorphism can occur, ",0,", fitness trait without theoretical sexual dimorphism",0
123,M135,Tarka et al.,,Acrocephalus arundinaceus,bird,endotherm,determinate,cold,global,iteroparous,no sex bias,Yes,polygyny,female,males larger,adults,lifetime fledglings,count,high values = fast,life history,wild,7.21,9.87,257.00,5.99,5.99,300.00,NA,,0,0,NA, ,0,", fitness trait without theoretical sexual dimorphism",0
124,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Lavalle,hours,high values = slow,physiology,semiwild,44.28,9.62,89.00,54.08,16.33,98.00,NA,other,0,0,NA, ,1,,1
125,M128,Zhang et al. 2000,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,female,males larger,mixed,Days from 20 to 100 kg,days,high values = slow,development,domestic,113.90,9.60,4881.00,114.00,8.70,4799.00,NA,,0,0,NA, ,1,,1
126,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - San Blas,hours,high values = slow,physiology,semiwild,51.70,8.56,109.00,62.62,14.66,118.00,NA,other,0,0,NA, ,1,,1
127,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Chilecito,hours,high values = slow,physiology,semiwild,43.17,8.49,143.00,55.71,16.71,151.00,NA,other,0,0,NA, ,1,,1
128,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - San Juan,hours,high values = slow,physiology,semiwild,50.21,8.48,107.00,65.12,12.17,114.00,NA,other,0,0,NA, ,1,,1
129,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Güemes,hours,high values = slow,physiology,semiwild,48.04,7.85,94.00,61.48,13.77,104.00,NA,other,0,0,NA, ,1,,1
130,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Cachi,hours,high values = slow,physiology,semiwild,45.27,7.77,58.00,61.54,13.11,68.00,NA,other,0,0,NA, ,1,,1
131,M205,Boratynski et al. 2013,,Myodes glareolus,mammal,endotherm,determinate,cold,global,iteroparous,male biased,No,promiscuity,female,No difference,adults,BMR,ml O2/h,high values = fast,physiology,semiwild,44.90,6.77,184.00,39.80,5.83,161.00,NA,other,0,0,NA, ,1,,1
132,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - San Rafael,hours,high values = slow,physiology,semiwild,40.72,6.38,130.00,56.66,11.08,142.00,NA,other,0,0,NA, ,1,,1
133,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Barreal,hours,high values = slow,physiology,semiwild,49.42,6.30,136.00,58.58,11.20,136.00,NA,other,0,0,NA, ,1,,1
134,M172,Williams et al. 2012,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Heat resistance,minutes,high values = slow,physiology,semiwild,35.75,6.12,919.00,26.14,7.37,919.00,NA,other,0,0,NA, ,1,,1
135,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Jáchal,hours,high values = slow,physiology,semiwild,53.67,6.03,101.00,65.75,5.87,110.00,NA,other,0,0,NA, ,1,,1
136,M165,Gay et al 2011,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Longevity,days,high values = slow,life history,lab,18.30,5.46,745.00,11.70,2.91,844.00,NA,,0,0,NA, ,1,,1
137,M219,Lewis et al. 2011,,Plodia interpunctella,arthropod,ectotherm,determinate,artificial,global,semelparous,unknown,No,promiscuity,none,females larger,mixed,Development time,days,high values = slow,development,lab,27.88,4.82,120.00,26.44,2.97,153.00,NA,,0,0,NA, ,1,,1
138,M189,Forstmeier et al. 2009,,Taeniopygia guttata,bird,endotherm,determinate,artificial,Arid,iteroparous,no sex bias,No,social monogamy,both,No difference,adults,Amplitude,db,high values = fast,behavior,lab,55.67,3.38,189.00,52.72,4.01,190.00,?,,0,1,1,"how does this behavior work on the POLS-scale?, ",0,", not a POLS trait",0
139,M213,Carriere 1994,,Choristoneura rosaceana,arthropod,ectotherm,determinate,cold,cold,iteroparous,no sex bias,No,promiscuity,none,females larger,unknown,Development time,days,high values = slow,development,semiwild,21.80,2.60,197.00,24.10,2.60,162.00,NA,,0,0,NA, ,1,,1
140,M41,Hanrahan and Eisen 1973,,Mus musculus,mammal,endotherm,determinate,artificial,global,iteroparous,no sex bias,No,polygyny,female,males larger,mixed,Body weight gain from week 3 to 6,g,high values = fast,development,lab,17.89,2.53,2568.00,13.02,2.53,2562.00,NA,,0,0,NA, ,1,,1
141,M178,Bubliy et al. 2012,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Heat shock resistance - humid - parents,min,high values = slow,physiology,lab,84.84,2.35,128.00,69.06,1.55,130.00,NA,other,0,0,NA,"same trait in different environments, but parents not necessaryily related and different inds used ",1,,1
142,M219,Lewis et al. 2011,,Plodia interpunctella,arthropod,ectotherm,determinate,artificial,global,semelparous,unknown,No,promiscuity,none,females larger,mixed,Longevity,days,high values = slow,life history,lab,8.26,1.75,120.00,5.83,1.48,153.00,NA,,0,0,NA, ,1,,1
143,M190,House et al. 2008,,Nicrophorus vespilloides,arthropod,ectotherm,determinate,temperate,global,iteroparous,no sex bias,No,social monogamy,both,females larger,adults,Mating frequency,count,high values = fast,life history,semiwild,3.68,1.69,582.00,3.65,1.47,603.00,NA,,0,1,NA,"how does this behavior work on the POLS-scale? Decided it is LH trait, ",1,,1
144,M140,Calsbeek et al. 2015,,Anolis sagrei,reptile,ectotherm,determinate,Tropical,Tropical,iteroparous,no sex bias,No,promiscuity,none,males larger,adults,Reproductive success of offspring that survived to maturity,count,high values = fast,life history,wild,3.19,1.62,290.00,3.08,1.82,291.00,NA,,0,0,NA, ,0,,0
145,M170,Hallsson and Björklund 2011,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Developmental time,days,high values = slow,development,lab,24.67,1.43,1643.00,24.52,1.40,1265.00,NA,,0,0,NA, ,1,,1
146,M9,Blanckenhorn 2002,,Scathophaga stercoraria,arthropod,ectotherm,determinate,cold,cold,iteroparous,unknown,No,promiscuity,none,males larger,adults,Development time,days,high values = slow,development,semiwild,22.90,1.30,372.28,21.50,1.40,348.66,NA,,0,0,NA, ,1,,1
147,M14,Brommer et al. 2007,,Ficedula albicollis,bird,endotherm,determinate,cold,global,iteroparous,female biased,Yes,promiscuity,both,females larger,adults,Lifetime reproductive success,count,high values = fast,life history,wild,0.92,1.23,3109.00,0.77,1.16,3972.00,NA,,0,0,NA, ,0,,0
148,M80,Muhlhauser and Blanckenhorn 2004,,Sepsis cynipsea,arthropod,ectotherm,determinate,cold,global,semelparous,unknown,No,polygyny,none,females larger,adults,Life span,days,high values = slow,life history,semiwild,50.57,1.18,97.00,41.50,0.85,114.00,NA,,0,0,NA, ,1,,1
149,M178,Bubliy et al. 2012,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Heat shock resistance - dry (stress) - parents,min,high values = slow,physiology,lab,48.26,0.86,125.00,53.06,0.79,125.00,NA,other,0,0,NA,"same trait in different environments, but parents not necessaryily related and different inds used ",1,,1
150,M22,Coltman et al. 2001,,Ovis aries,mammal,endotherm,determinate,temperate,global,iteroparous,male biased,No,polygyny,female,males larger,adults,Summer fecal egg count ,Loge(Count),high values = fast,physiology,wild,1.63,0.82,493.00,0.92,0.83,576.00,NA,immun,0,0,NA, ,1,,1
151,M92,Qvarnström et al. 2006 ,,Ficedula albicollis,bird,endotherm,determinate,cold,global,iteroparous,female biased,Yes,social monogamy,both,females larger,adults,Annual fitness,(survival + number recruits)*0.5,high values = fast,life history,wild,0.65,0.64,3019.00,0.61,0.64,2934.00,NA,,0,0,NA,"excluded, beacuse theoretically no dimorphism can occur, ",0,", fitness trait without theoretical sexual dimorphism",0
152,M84,Parker and Garant 2005,,Gallus gallus,bird,endotherm,determinate,artificial,Tropical,iteroparous,unknown,No,polygyny,female,males larger,mixed,Steepest slope of body mass growth,g/day,high values = fast,development,lab,4.30,0.57,205.00,3.90,0.92,235.00,NA,,0,1,NA, ,1,,1
153,M84,Parker and Garant 2005,,Gallus gallus,bird,endotherm,determinate,artificial,Tropical,iteroparous,unknown,No,polygyny,female,males larger,mixed,Age (weeks) of peak tarsus length growth rate,week,high values = slow,development,lab,7.70,0.57,205.00,6.90,0.61,235.00,NA,,0,1,NA, ,1,,1
154,M141,Fuchikawa and Okada 2013,,Gnatocerus cornutus,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Locomotor activity,m/10min,high values = fast,behavior,lab,1.34,0.29,15.00,2.84,0.40,15.00,activity,,0,0,NA, ,1,,1
155,M202,Yoshida et al. 2015,,Oreochromis niloticus,fish,ectotherm,indeterminate,Tropical,Arid,iteroparous,unknown,No,polygyny,female,males larger,adults,Daily weight gain 4,g,high values = fast,development,domestic,1.04,0.27,973.00,0.76,0.20,747.00,NA,,1,1,NA,same individuals measured at different stages of life ,1,,1
156,M202,Yoshida et al. 2015,,Oreochromis niloticus,fish,ectotherm,indeterminate,Tropical,Arid,iteroparous,unknown,No,polygyny,female,males larger,adults,Daily weight gain 3,g,high values = fast,development,domestic,0.83,0.22,973.00,0.62,0.17,747.00,NA,,1,1,NA,same individuals measured at different stages of life ,1,,1
157,M197,Saintilan et al. 2012,,Sus scrofa,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,female,males larger,unknown,FCR feed conversion ratio,kg feed/kg gain,high values = slow,physiology,domestic,2.43,0.19,1121.00,2.66,0.18,508.00,NA,other,0,1,NA, ,1,,1
158,M202,Yoshida et al. 2015,,Oreochromis niloticus,fish,ectotherm,indeterminate,Tropical,Arid,iteroparous,unknown,No,polygyny,female,males larger,adults,Daily weight gain 2,g,high values = fast,development,domestic,0.66,0.18,973.00,0.52,0.14,747.00,NA,,1,1,NA,same individuals measured at different stages of life ,1,,1
159,M29,Crump et al. 1997,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,female,males larger,juvenile,Average daily food intake Env 3,kg,high values = fast,physiology,domestic,2.14,0.17,621.00,1.93,0.17,1654.00,NA,other,0,1,NA, ,1,,1
160,M29,Crump et al. 1997,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,female,males larger,juvenile,Food conversion ratio Env 3,ratio,high values = slow,physiology,domestic,2.30,0.17,621.00,2.55,0.17,1654.00,NA,other,0,1,NA, ,1,,1
161,M84,Parker and Garant 2005,,Gallus gallus,bird,endotherm,determinate,artificial,Tropical,iteroparous,unknown,No,polygyny,female,males larger,mixed,Steepest slope of tarsus length growth,mm/day,high values = fast,development,lab,0.50,0.14,205.00,0.50,0.15,235.00,NA,,0,1,NA, ,1,,1
162,M202,Yoshida et al. 2015,,Oreochromis niloticus,fish,ectotherm,indeterminate,Tropical,Arid,iteroparous,unknown,No,polygyny,female,males larger,adults,Daily weight gain 1,g,high values = fast,development,domestic,0.50,0.14,973.00,0.42,0.12,747.00,NA,,1,1,NA,same individuals measured at different stages of life ,1,,1
163,M29,Crump et al. 1997,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,female,males larger,juvenile,Average daily gain Env 3,kg,high values = fast,development,domestic,0.94,0.10,621.00,0.76,0.10,1654.00,NA,,0,1,NA, ,1,,1
164,M157,Haugen Aalberg et al. 2012,,Pararge aegeria,arthropod,ectotherm,determinate,cold,global,sexspecific,female biased,No,polygyny,none,females larger,juvenile,Larval growth rate - direct -Central pop,log 10 (pupal weight) / larval developmental time,high values = fast,development,semiwild,0.07,0.01,NA,0.07,0.01,NA,NA,,0,0,NA, ,0,no ample sizes,0
165,M157,Haugen Aalberg et al. 2012,,Pararge aegeria,arthropod,ectotherm,determinate,cold,global,sexspecific,female biased,No,polygyny,none,females larger,juvenile,Larval growth rate - diapause - Central pop,log 10 (pupal weight) / larval developmental time,high values = fast,development,semiwild,0.05,0.01,NA,0.06,0.01,NA,NA,,0,0,NA, ,0,no ample sizes,0
166,M157,Haugen Aalberg et al. 2012,,Pararge aegeria,arthropod,ectotherm,determinate,cold,global,sexspecific,female biased,No,polygyny,none,females larger,juvenile,Larval growth rate - direct - Southern pop,log 10 (pupal weight) / larval developmental time,high values = fast,development,semiwild,0.08,0.01,NA,0.07,0.01,NA,NA,,0,0,NA, ,0,no ample sizes,0
167,M157,Haugen Aalberg et al. 2012,,Pararge aegeria,arthropod,ectotherm,determinate,cold,global,sexspecific,female biased,No,polygyny,none,females larger,juvenile,Larval growth rate - diapause - Southern pop,log 10 (pupal weight) / larval developmental time,high values = fast,development,semiwild,0.05,0.01,NA,0.05,0.01,NA,NA,,0,0,NA, ,0,no ample sizes,0
168,M155,Saastamoinen et al. 2012,,Bicyclus anynana,arthropod,ectotherm,determinate,artificial,Tropical,iteroparous,unknown,No,promiscuity,none,females larger,adults,Flight activity,m/h,high values = fast,behavior,lab,65.00,86.08,147.00,46.50,126.00,144.00,activity,,0,0,NA,used only generation 1 in mean and sd calculations ,1,,1
169,M106,Rolff et al. 2005,,Tenebrio molitor,arthropod,ectotherm,determinate,artificial,global,semelparous,unknown,No,promiscuity,none,No difference,adults,hemocyte count,count,high values = slow,physiology,semiwild,115.28,132.02,435.00,199.60,246.53,435.00,NA,other,0,1,NA, ,1,,1
170,M106,Rolff et al. 2005,,Tenebrio molitor,arthropod,ectotherm,determinate,artificial,global,semelparous,unknown,No,promiscuity,none,No difference,adults,phenoloxidase activity,maximum conversion of substrate per unit time,high values = slow,physiology,semiwild,272.33,249.24,435.00,247.94,203.77,435.00,NA,other,0,1,NA, ,1,,1
171,M194,Svensson et al. 2009,,Uta stansburiana,reptile,ectotherm,determinate,temperate,Arid,iteroparous,male biased,No,promiscuity,none,males larger,adults,Antibody responsiveness,units/ml,high values = slow,physiology,wild,9.99,20.20,195.00,9.11,20.20,285.00,NA,immun,0,0,NA, ,1,,1
172,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,iteroparous,NA,NA,promiscuity,none,NA,NA,Early molt score,sum of scores,high values = fast,physiology,semiwild,12.70,8.57,14.00,12.30,8.24,12.00,NA,other,0,1,NA,include ,1,,1
173,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Late molt score,sum of scores,NA,physiology,NA,65.00,16.52,17.00,53.70,6.96,10.00,NA,,NA,NA,NA,"exclude, males and females measured at different time points",0,sexes treated differently,0
174,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bactericidal capacity premolt,proportion,NA,physiology,NA,0.79,0.28,10.00,0.62,0.25,9.00,NA,,NA,NA,NA,"exclude, proportion scale",0,scale issue,0
175,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bactericidal capacity early molt,NA,NA,physiology,NA,0.23,0.28,16.00,0.08,0.13,15.00,NA,,NA,NA,NA,"exclude, proportion scale",0,scale issue,0
176,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bactericidal capacity late molt,NA,NA,physiology,NA,0.11,0.19,12.00,0.23,0.23,9.00,NA,,NA,NA,NA,"exclude, proportion scale",0,scale issue,0
177,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bactericidal capacity first postmolt molt,NA,NA,physiology,NA,0.07,0.28,16.00,0.07,0.13,15.00,NA,,NA,NA,NA,"exclude, proportion scale",0,scale issue,0
178,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bactericidal capacity second postmolt molt,NA,NA,physiology,NA,0.48,0.30,12.00,0.15,0.28,12.00,NA,,NA,NA,NA,"exclude, proportion scale",0,scale issue,0
179,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,iteroparous,NA,NA,promiscuity,none,NA,NA,Hematocrit value premolt,%,high values = slow,physiology,semiwild,52.44,2.74,12.00,49.47,1.59,11.00,NA,other,1,1,NA,scale is unclear ,1,,0
180,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,iteroparous,NA,NA,promiscuity,none,NA,NA,Hematocrit value early molt,%,high values = slow,physiology,semiwild,46.16,2.80,17.00,46.05,2.08,12.00,NA,other,1,1,NA,scale is unclear ,1,,0
181,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hematocrit value late molt,%,NA,physiology,NA,46.12,3.08,17.00,44.26,1.50,10.00,NA,,NA,NA,NA,"scale is unclear, males and females measured at different time points",0,sexes treated differently,0
182,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,iteroparous,NA,NA,promiscuity,none,NA,NA,Hematocrit value postmolt 1,%,high values = slow,physiology,semiwild,51.97,3.80,16.00,49.01,2.53,15.00,NA,other,1,1,NA,scale is unclear ,1,,0
183,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,iteroparous,NA,NA,promiscuity,none,NA,NA,Hematocrit value postmolt 2,%,high values = slow,physiology,semiwild,51.49,3.24,12.00,49.28,1.86,12.00,NA,other,1,1,NA,scale is unclear ,1,,0
184,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,iteroparous,NA,NA,promiscuity,none,NA,NA,Corticosterone premolt,ng/ml,high values = slow,physiology,semiwild,5.55,2.60,11.00,2.61,2.15,12.00,NA,baseline,2,1,NA,include ,1,,1
185,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,iteroparous,NA,NA,promiscuity,none,NA,NA,Corticosterone early molt,ng/ml,high values = slow,physiology,semiwild,0.52,0.26,17.00,0.75,0.57,13.00,NA,baseline,2,1,NA,include ,1,,1
186,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corticosterone late molt,ng/ml,NA,physiology,NA,0.54,0.13,10.00,1.04,0.72,10.00,NA,,NA,NA,NA,"exclude, males and females measured at different time points",0,sexes treated differently,0
187,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,NA,NA,NA,NA,iteroparous,NA,NA,promiscuity,none,NA,NA,Corticosterone postmolt 1,ng/ml,high values = slow,physiology,semiwild,2.15,0.92,10.00,1.13,0.56,10.00,NA,baseline,2,1,NA,include ,1,,1
188,A197,"Emaresi, G; Bize, P; Altwegg, R; Henry, I; van den Brink, V; Gasparini, J; Roulin, A",10.1086/674444,Strix aluco,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,"exclude, Only model stats",0,LS means,0
189,A204,"Fairhurst, GD; Navarro, J; Gonzalez-Solis, J; Marchant, TA; Bortolotti, GR",10.1098/rspb.2011.0884,Calonectris diomedea,bird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parent's effekt on offspring corticosterone under an experimental treatments. Two variables tested, feeding trip duration and feeding efficiency during duration (mass loss/trip duration)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,"exclude, Weird trait and only model effect sizes given with SE, but N is available",0,LS means,0
190,A208,"Fisher, DN; David, M; Tregenza, T; Rodriguez-Munoz, R",10.1093/beheco/arv048,Gryllus campestris,insect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Exploration behaviour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,"exclude, Sex only as fixed factor",0,no sex-specific means given,0
191,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distance moved in open field Su-Su group,cm,high values = fast,behavior,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
192,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latency to jump Su-Su group,s,high=slow,behavior,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
193,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corticosterone after stress Su-Su group,ng metabolites/0.05g feces,high=slow,physiology,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
194,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distance moved in open field Su-Wi group,cm,high values = fast,behavior,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
